id	score	url	txt
2056594	11.45997428894043	http://www.rbc.ru/rbcfreenews/20140612153505.shtml	,  Prime Music,   ,   ,     ,    - Amazon Prime  $99  .          .  ,      Universal Music Group,   .  ,   Warner Music Group  Sony Corp          .\n   , Universal Music     Amazon,        ,  -. Amazon,   ,  ,  Universal,  .\n  Prime Music      Amazon     - Spotify  Pandora.      Amazon Kindle Fire,      Android  iOS.\n \n
903411	11.242156982421875	http://rss.feedsportal.com/c/32327/f/441155/s/2f2ab3fa/sc/23/l/0L0Srbc0Bru0Crbcfreenews0C20A130A7260A230A360Bshtml/story01.htm	26.07.2013,  02:30:36     Amazon.com Inc.,     - Amazon.com,  II  2013.  7  .  7  .  ,      .        .\n     22%   15,7  .          12,83  .   Amazon.com       26% -  79  .  II  2012.   107  .\nAmazon.com -    -,      ,      ,      .     Amazon.com  34  ,     ,  ,  ,  ,  ,    .      -   :     Amazon  , , , ,   .   Amazon       . -    .,  .\n
503764	11.242156982421875	http://rss.feedsportal.com/c/32327/f/441155/s/2b2d56dc/l/0L0Srbc0Bru0Crbcfreenews0C20A130A4260A0A50A0A10Bshtml/story01.htm	26.04.2013,  00:50:01     Amazon.com Inc.,     - Amazon.com,  I  2013.   36,9% -  82  .    130  .,      .         .\n     21,9%   16,07  .          13,18  .   Amazon.com       6% -  182  .  I  2012.   192  .\nAmazon.com -    -,      ,      ,      .     Amazon.com  34  ,     ,  ,  ,  ,  ,    .      -   :     Amazon  , , , ,   .   Amazon       . -    .,  .\n
2239890	11.218017578125	http://www.rbc.ru/rbcfreenews/20140725005555.shtml#xtor=AL-[internal_traffic]--[rss.rbc.ru]-[brief_news]	 25.07.2014,  00:55:55      - Amazon.com  II  2014   $126 ,  27   ,    $7 ,  2   ,     .       .\n     II    23%  $19,34 .  Thomson Reuters,  Wall Street        $19,3 .\nAmazon.com -              .    Amazon    , , , ,    ,      61  .     -   .    $165 .\n
2047515	11.171241760253906	http://lenta.ru/news/2014/06/10/amazon/	Amazon запустит собственную платежную систему\nКрупнейший американский интернет-ритейлер Amazon представил проект собственной платежной системы ─ Amazon Payments,  - сообщило агентство Reuters .\nНовый сервис позволит 250 миллионам пользователей ресурса использовать данные своих банковских карт, подключенных к Amazon.com, для оплаты различных услуг, например, счетов за мобильную связь или подписки на музыку.\nAmazon Payments по своей сути станет конкурентом платежного сервиса PayPal ─ лидера мирового рынка онлайн-платежей, который принадлежит другому крупному интернет-ритейлеру eBay.\nРанее Amazon сообщила о том, что 18 июня представит «новое устройство». По неофициальным данным, это будет 3D-смартфон.\n
1953044	11.059675216674805	http://feedproxy.google.com/~r/rosbalt/~3/P84GpsO4lV0/1270541.html	Amazon инвестировал $20 млн в Yummy77\nПЕКИН, 20 мая. Американский онлайн-ритейлер Amazon вложил $20 млн в шанхайскую компанию по доставке продуктов питания Yummy77.\nAmazon стал миноритарным акционером Yummy77, однако по условиям сделки компания продолжит работу независимо от Amazon. Это первая инвестиция Amazon в китайский бизнес за последние 10 лет, но в США у Amazon есть аналогичная компания Amazon Fresh, сообщает ПРАЙМ .\nYummy77 планирует использовать полученные средства для расширения бизнеса в Китае, а также для выхода на зарубежные рынки. По состоянию на декабрь 2013 год выручка Yummy77 превышает 100 млн юаней (около $16 млн), а общее число зарегистрированных пользователей достигает 1 млн человек. Компания основана в 2013 году в Китае и предлагает услуги по онлайн-доставке свежих фруктов, овощей, морепродуктов, мяса и молочной продукции.\n
2059422	10.53804874420166	http://www.rg.ru/2014/06/13/amazon-site.html	Amazon запустил сервис с бесплатной музыкой\nAmazon бесплатно выложил миллион треков для прослушивания\n
2181257	10.53619384765625	http://www.rbc.ru/rbcfreenews/20140711101908.shtml#xtor=AL-[internal_traffic]--[rss.rbc.ru]-[brief_news]	 11.07.2014,  10:19:08      - Amazon       5%   .        ,  The Wall Street Journal.\n       1981.,      ,   5%      (         ).        Amazon    .         ,     ,        .\n
1080116	10.498104095458984	http://news.mail.ru/economics/14569923/	| «ПРАЙМ»\nAmazon начал доставлять электронику в Россию\nМОСКВА, 1 сен — РИА Новости. Американский интернет-магазин Amazon начал осуществлять доставку электроники в Россию, сообщается на сайте Amazon\nОнлайн-магазин расширил свой ассортимент для доставки в Россию, включив в него бытовую электронику. Как ранее сообщал Digit.ru, в июне Amazon начал доставлять в Россию одежду, обувь, аксессуары и товары для дома. До этого в Россию поступали только книги, аудиозаписи и фильмы.\nAmazon.com — крупнейший интернет-сервис по продаже товаров и услуг через интернет. Помимо США, Amazon работает в Канаде, Китае, Бразилии, Франции, Германии, Италии, Японии, Великобритании и Испании. Штаб-квартира расположена в Сиэтле.\nОбнаружив в тексте ошибку, выделите ее и нажмите Ctrl + Enter\n
2856969	10.434931755065918	http://feedproxy.google.com/~r/rosbalt/~3/klafktsrSLM/1362636.html	Прибыль Amazon в IV квартале 2014 года составила $214 млн\nВАШИНГТОН, 30 января. Чистая прибыль онлайн-ритейлера Amazon за IV квартал прошлого года составила $214 млн, пишет "Газета.Ru".\nПродажи компании выросли на 15% — до $29,3 млрд.\nКроме того, сообщается, что акции Amazon после закрытия торгов выросли на 8,5%.\n
